scen_num,sample_num,capacity_multiplier,exp_name,date,group_id,reopen,delay,rollback,crit_det,date_min,date_max,type,subtype,days_above
989,89,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-11-09,940,50perc,1daysdelay,weak (20%),519,2020-11-09,2021-02-06,threshold,above_threshold,88.1753130590336
1757,159,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-11-13,1662,50perc,1daysdelay,weak (20%),529,2020-11-13,2021-02-11,threshold,above_threshold,90.0715563506274
976,88,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-11-17,929,50perc,1daysdelay,weak (20%),555,2020-11-17,2021-01-30,threshold,above_threshold,73.9534883720925
1759,159,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-11-18,1664,50perc,1daysdelay,weak (20%),519,2020-11-18,2021-01-26,threshold,above_threshold,69.2128801431121
1869,169,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-11-20,1770,50perc,1daysdelay,weak (20%),518,2020-11-20,2021-01-21,threshold,above_threshold,62.5760286225434
2045,185,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-11-20,1936,50perc,1daysdelay,weak (20%),532,2020-11-20,2021-01-17,threshold,above_threshold,57.8354203935602
941,85,0.6,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-11-23,896,50perc,1daysdelay,weak (20%),519,2020-11-23,2021-02-09,threshold,above_threshold,78.6940966010728
1418,128,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-11-23,1347,50perc,1daysdelay,weak (20%),522,2020-11-23,2021-02-13,threshold,above_threshold,82.4865831842577
965,87,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-11-24,920,50perc,1daysdelay,weak (20%),521,2020-11-24,2021-02-25,threshold,above_threshold,93.8640429338123
2012,182,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-11-24,1903,50perc,1daysdelay,weak (20%),517,2020-11-24,2021-01-30,threshold,above_threshold,67.316636851521
2210,200,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-11-24,2094,50perc,1daysdelay,weak (20%),524,2020-11-24,2021-02-20,threshold,above_threshold,87.2271914132353
987,89,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-11-26,938,50perc,1daysdelay,weak (20%),517,2020-11-26,2021-01-14,threshold,above_threshold,48.3542039355994
1493,135,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-11-27,1418,50perc,1daysdelay,weak (20%),525,2020-11-27,2020-12-23,threshold,above_threshold,25.599284436493
1638,148,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-11-28,1546,50perc,1daysdelay,weak (20%),519,2020-11-28,2021-01-18,threshold,above_threshold,51.198568872986
886,80,0.6,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-11-30,842,50perc,1daysdelay,weak (20%),516,2020-11-30,2021-01-07,threshold,above_threshold,37.9248658318431
1044,94,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-01,995,50perc,1daysdelay,weak (20%),519,2020-12-01,2021-01-28,threshold,above_threshold,57.8354203935602
1262,114,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-01,1197,50perc,1daysdelay,weak (20%),521,2020-12-01,2021-02-26,threshold,above_threshold,87.2271914132381
967,87,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-03,922,50perc,1daysdelay,weak (20%),532,2020-12-03,2021-01-31,threshold,above_threshold,58.7835420393558
1240,112,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-04,1177,50perc,1daysdelay,weak (20%),520,2020-12-04,2021-01-04,threshold,above_threshold,31.2880143112689
2111,191,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-04,1999,50perc,1daysdelay,weak (20%),528,2020-12-04,2021-01-25,threshold,above_threshold,52.1466905187843
879,79,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-05,835,50perc,1daysdelay,weak (20%),527,2020-12-05,2021-02-17,threshold,above_threshold,73.9534883720925
890,80,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-05,846,50perc,1daysdelay,weak (20%),537,2020-12-05,2021-01-31,threshold,above_threshold,56.8872987477619
1106,100,0.6,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-05,1056,50perc,1daysdelay,weak (20%),542,2020-12-05,2021-02-16,threshold,above_threshold,73.0053667262942
2034,184,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-05,1925,50perc,1daysdelay,weak (20%),530,2020-12-05,2021-01-29,threshold,above_threshold,54.9910554561737
2221,201,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-05,2104,50perc,1daysdelay,weak (20%),516,2020-12-05,2021-01-28,threshold,above_threshold,54.0429338103754
875,79,0.6,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-06,831,50perc,1daysdelay,weak (20%),522,2020-12-06,2021-02-17,threshold,above_threshold,73.0053667262997
1297,117,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-06,1229,50perc,1daysdelay,weak (20%),534,2020-12-06,2021-02-03,threshold,above_threshold,58.7835420393585
1768,160,0.8,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-06,1673,50perc,1daysdelay,weak (20%),530,2020-12-06,2021-01-29,threshold,above_threshold,54.0429338103809
1770,160,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-07,1675,50perc,1daysdelay,weak (20%),517,2020-12-07,2021-02-01,threshold,above_threshold,55.9391771019692
2100,190,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-07,1988,50perc,1daysdelay,weak (20%),522,2020-12-07,2021-01-30,threshold,above_threshold,54.0429338103754
1110,100,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-08,1060,50perc,1daysdelay,weak (20%),521,2020-12-08,2021-02-09,threshold,above_threshold,63.5241502683334
1260,114,0.6,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,2020-12-08,1195,50perc,1daysdelay,weak (20%),516,2020-12-08,2021-02-06,threshold,above_threshold,59.7316636851485
